USB3            USB4
750             840
752             842
744             838
743             838
740             838
752             840
751             842
753             841
742             838
740             835
743             839
748             840
750             842
752             839
742             838
743             837
744             839
671             837
704             834
821             842
703             833
837             841
843             844
797             844
845             843
785             842
687             834
688             832
831             845
674             837
683             835
649             831
835             843
844             844
661             837
827             841
852             844
637             832
850             845
819             841
775             840
843             842
807             835
855             844
659             835
781             842
643             835
698             836
640             829
807             842
739             840
665             833
770             839
847             840
710             833
659             833
671             835
681             832
846             843
656             831
726             839
852             844
648             836
852             844
697             832
871             844
648             834
824             845
819             842
722             838
727             831
747             837
743             839
743             841
752             839
752             839
754             838
743             839
744             841
744             840
752             839
752             836
751             839
742             839
748             842
744             839
751             839
752             837
751             841
744             839
748             841
748             839
752             837
752             839
751             840
745             841
744             839
743             838
751             836
752             841
751             840
744             841
744             838
744             839
743             838
751             840
750             842
751             841
743             838
744             835
743             839
751             840
750             842
751             839
741             838
746             838
729             839
849             846
868             846
667             832
739             832
601             830
797             842
745             840
709             837
653             833
799             839
678             835
696             839
871             845
655             834
862             841
885             847
732             836
852             846
680             834
842             843
601             830
781             840
690             835
677             836
646             833
663             831
711             838
794             843
643             835
774             842
814             838
740             835
814             840
830             846
862             844
787             841
728             831
822             841
716             838
881             848
679             831
675             828
704             837
652             833
651             838
693             832
693             835
636             830
716             835
646             836
883             846
730             835
751             836
743             839
743             839
744             841
751             839
751             839
752             838
743             839
737             841
746             840
752             840
752             836
752             841
746             839
742             841
742             838
749             838
752             839
751             840
743             841
746             839
744             839
743             835
752             841
751             840
752             841
743             838
745             836
744             839
752             840
751             842
752             839
744             839
744             836
743             839
752             840
753             841
749             839
744             835
743             839
743             839
750             842
752             839
751             839
848             840
843             843
818             843
744             841
795             841
843             839
672             835
720             835
724             841
790             839
854             844
831             839
678             833
724             839
596             831
754             840
789             838
851             844
652             835
813             842
715             838
793             841
646             831
822             843
670             835
851             845
825             841
848             841
877             846
753             838
854             846
697             837
695             832
642             830
753             841
660             835
647             837
647             833
644             833
806             839
682             835
755             840
630             836
804             841
853             841
616             833
822             840
863             847
800             839
694             836
619             830
728             839
845             845
603             832
751             839
751             836
743             838
743             839
743             841
751             839
751             839
751             836
742             839
742             839
743             841
742             838
748             836
750             839
751             840
744             841
744             839
743             839
752             836
752             841
751             840
744             841
743             838
741             835
752             839
752             840
750             843
745             839
743             838
742             832
751             841
752             840
751             843
