USB3            USB4
743             839
742             841
744             838
752             838
748             838
753             840
744             842
739             839
742             838
748             836
749             839
748             840
744             841
744             838
744             839
752             837
752             840
752             840
744             840
744             838
744             835
754             839
753             840
753             843
741             839
811             840
675             828
690             834
803             841
721             840
706             835
815             840
747             836
776             843
672             836
752             840
825             841
815             836
731             836
744             839
751             842
750             839
750             839
741             835
742             839
742             839
751             841
751             839
750             838
743             838
743             839
741             841
750             841
750             839
751             835
741             838
742             839
742             841
751             839
751             839
750             836
750             840
741             839
739             840
741             838
751             836
751             839
747             840
741             842
740             839
740             838
741             832
751             841
751             840
741             841
742             837
743             838
749             835
751             840
752             844
742             840
743             838
741             830
752             520
751             799
750             854
743             835
743             815
745             831
743             840
750             840
750             843
750             838
743             838
743             835
743             839
748             844
749             841
751             839
743             831
744             839
743             839
751             844
751             837
751             839
742             835
743             839
743             839
751             841
751             839
752             838
743             838
743             839
743             841
741             839
804             841
734             833
714             835
816             841
816             843
671             833
700             835
753             838
677             834
667             835
748             839
736             838
668             830
811             839
823             842
696             837
827             842
705             834
787             838
675             834
695             835
819             843
784             840
705             834
711             834
693             834
827             845
708             836
668             833
813             837
691             833
775             843
792             844
781             841
756             839
829             840
727             837
827             844
847             845
824             841
814             837
681             833
673             834
672             836
819             841
721             835
660             831
707             836
814             842
700             835
823             841
669             830
837             843
716             837
671             836
749             838
751             839
749             837
743             839
741             841
741             839
741             838
752             836
751             839
750             840
742             841
743             838
740             838
750             837
750             840
751             842
740             839
743             838
743             835
749             839
750             840
751             842
743             838
743             838
744             837
751             840
751             843
749             840
743             838
741             835
740             839
748             840
747             842
748             839
747             839
743             837
743             839
743             841
753             841
751             839
747             835
743             839
740             839
740             841
750             839
751             839
684             832
750             840
819             844
663             835
822             841
676             830
766             841
670             834
765             843
794             840
704             835
649             834
824             842
743             841
763             841
779             840
664             830
817             842
804             841
691             836
701             835
814             839
793             839
686             833
806             844
845             844
697             834
667             830
686             833
741             839
765             843
803             841
740             836
679             832
668             834
825             844
849             845
741             839
808             838
814             841
668             834
786             843
678             833
675             830
691             833
690             835
789             843
788             841
769             842
692             830
736             838
743             839
740             840
740             838
747             836
748             839
747             839
740             841
741             838
743             839
751             836
751             840
751             840
740             840
741             838
742             835
752             839
751             840
751             842
742             838
743             839
743             836
751             840
751             841
751             841
741             838
743             835
741             838
742             839
751             842
750             839
751             839
744             837
740             839
743             841
749             840
751             839
751             836
743             839
743             839
743             841
750             839
750             839
752             839
742             839
743             841
745             839
819             841
671             830
820             843
742             838
824             843
725             836
809             838
648             834
812             841
816             843
810             841
722             835
717             832
677             834
677             834
801             841
763             840
809             837
737             837
701             835
718             839
679             832
810             840
654             831
741             838
711             838
777             842
730             838
743             835
728             837
816             841
827             845
763             840
705             834
827             841
815             841
823             844
666             834
788             841
830             839
720             838
814             841
651             835
789             841
779             837
843             843
772             841
822             844
812             840
698             834
681             830
687             835
734             840
751             841
741             838
742             835
751             839
752             840
751             842
743             838
743             838
741             837
743             839
749             842
749             840
743             838
743             835
743             839
743             839
749             841
751             839
751             838
743             838
743             839
741             841
748             840
751             839
751             835
743             840
743             839
743             849
751             813
