USB3		USB4
744             838
752             836
751             839
753             841
744             843
743             839
743             838
753             836
752             840
752             840
752             842
745             839
745             838
743             838
752             840
752             842
753             841
744             839
742             835
743             839
752             840
753             842
753             839
750             839
745             838
743             839
751             843
751             840
752             839
745             835
744             839
744             839
752             842
752             839
752             839
745             837
745             839
746             842
744             839
752             839
753             836
752             840
745             839
745             841
745             838
753             839
754             838
753             841
746             842
744             840
745             839
752             835
752             840
581             831
1023            856
969             850
979             847
825             841
1022            853
995             852
951             849
933             844
741             838
457             822
501             830
553             828
727             833
614             831
554             829
946             849
408             820
689             830
846             843
478             823
453             822
568             828
866             846
752             836
1001            847
729             834
581             830
387             820
674             837
959             846
936             848
791             845
892             846
928             848
898             847
343             814
842             840
728             838
1023            857
628             829
338             812
495             825
856             851
543             827
906             849
463             817
1023            854
722             844
404             820
728             833
623             825
996             849
985             849
935             851
799             843
540             825
783             839
743             839
744             841
747             840
750             839
749             835
743             839
743             839
745             841
753             839
753             839
755             839
745             839
747             842
743             839
752             839
751             835
752             841
752             840
744             841
744             838
743             837
752             839
753             840
752             843
743             839
744             838
744             835
752             840
752             840
753             842
744             838
750             837
746             838
753             840
752             843
752             840
745             839
745             835
745             840
752             840
752             842
752             839
919             845
895             846
460             822
861             844
696             835
750             843
869             838
713             839
816             845
1011            852
1001            853
1023            852
1023            854
915             852
607             827
723             840
553             826
479             823
852             850
571             830
779             844
549             824
851             844
954             850
510             831
755             837
493             824
925             843
700             832
511             831
538             828
975             851
716             835
400             819
437             819
636             835
399             817
467             821
1023            852
902             851
704             842
415             820
699             831
433             815
1023            856
780             841
613             831
651             831
569             826
917             847
966             851
1023            858
765             840
752             836
750             839
753             840
743             841
743             838
744             838
750             836
751             840
752             840
741             840
743             838
743             835
747             839
752             840
752             843
752             839
745             839
745             835
744             839
752             840
755             842
752             839
743             835
743             838
743             839
751             843
752             840
752             839
744             835
743             839
743             839
752             842
752             839
756             838
741             838
743             839
743             842
744             839
752             839
752             835
753             840
745             839
746             841
743             838
533             823
566             827
936             845
1006            853
732             834
801             844
1023            857
917             850
446             824
329             814
599             833
1023            849
474             825
934             852
433             820
662             830
554             819
408             819
518             826
1023            857
477             822
621             832
1023            857
440             820
773             847
1023            852
1023            851
1023            852
683             834
668             835
616             835
1023            851
525             825
894             851
557             827
486             822
1001            847
384             819
697             831
570             833
705             837
908             844
1014            851
1015            852
1023            857
981             851
627             832
1023            857
772             846
1023            857
593             827
988             844
612             832
984             849
771             844
753             839
751             839
752             836
752             841
745             839
745             841
744             838
753             838
752             838
752             840
745             842
741             839
743             838
752             835
752             840
753             840
745             841
745             838
744             839
752             837
752             840
752             843
748             840
745             839
744             835
751             839
753             840
753             843
745             838
745             839
745             836
744             839
752             841
752             841
752             839
744             834
745             839
745             839
749             853
752             832
