,,,,,,,
,0 cm,5 cm,10 cm,15 cm,20 cm,25 cm,30 cm
,749,746,741,752,748,741,750
,750,744,750,744,749,748,748
,750,752,751,743,748,751,750
,742,753,751,740,744,752,740
,739,752,743,752,744,743,740
,738,745,743,751,744,743,740
,749,745,743,753,752,741,750
,751,745,750,742,752,751,750
,749,753,750,740,752,751,750
,740,754,753,743,744,752,741
,739,753,741,748,744,743,742
,742,746,742,750,744,742,742
,750,744,745,752,754,744,741
,749,745,750,742,753,750,749
,749,752,751,743,753,751,749
,741,752,749,744,741,752,750
,320,581,657,671,811,804,775
,917,1023,821,704,675,627,722
,390,969,920,821,690,666,671
,944,979,887,703,803,855,732
,1023,825,937,837,721,876,747
,388,1022,645,843,706,746,806
,583,995,864,797,815,859,710
,422,951,546,845,747,655,797
,869,933,540,785,776,782,802
,622,741,927,687,672,655,802
,877,457,739,688,752,872,807
,207,501,705,831,825,797,690
,1023,553,614,674,815,635,790
,452,727,692,683,731,635,795
,250,614,785,649,744,839,791
,686,554,922,835,751,855,802
,1023,946,498,844,750,594,726
,1023,408,841,661,750,828,697
,969,689,743,827,741,631,796
,831,846,982,852,742,696,808
,440,478,660,637,742,629,678
,997,453,603,850,751,628,716
,519,568,818,819,751,641,693
,797,866,916,775,750,731,803
,1023,752,759,843,743,709,703
,446,1001,649,807,743,628,706
,403,729,564,855,741,675,682
,658,581,537,659,750,655,704
,412,387,805,781,750,665,768
,515,674,915,643,751,810,713
,1023,959,499,698,741,803,691
,1023,936,599,640,742,816,754
,573,791,622,807,742,755,698
,778,892,745,739,751,581,785
,772,928,545,665,751,649,693
,505,898,887,770,750,671,699
,567,343,636,847,750,824,753
,1006,842,731,710,741,642,807
,832,728,851,659,739,785,713
,1023,1023,609,671,741,862,695
,351,628,615,681,751,733,713
,1023,338,832,846,751,639,717
,1023,495,911,656,747,811,684
,1003,856,636,726,741,634,687
,703,543,877,852,740,648,702
,706,906,831,648,740,859,774
,406,463,923,852,741,804,727
,658,1023,552,697,751,759,728
,927,722,572,871,751,662,792
,489,404,594,648,741,702,720
,594,728,900,824,742,751,724
,391,623,618,819,743,755,753
,889,996,985,722,749,714,750
,725,985,612,727,751,882,740
,749,935,942,747,752,636,740
,742,799,1007,743,742,872,741
,741,540,542,743,743,766,742
,743,783,480,752,741,741,750
,750,743,920,752,752,743,750
,746,744,919,754,751,751,751
,744,747,811,743,743,751,742
,739,750,751,744,743,751,741
,740,749,742,744,744,743,740
,739,743,741,752,751,743,750
,750,743,743,752,751,739,750
,749,745,743,751,749,747,751
,748,753,751,742,743,747,740
,740,753,750,748,741,747,740
,738,755,751,744,740,748,742
,742,745,743,751,748,742,750
,750,747,742,752,747,743,750
,750,743,742,751,748,742,752
,750,752,750,744,747,751,742
,747,751,745,748,743,751,739
,741,752,744,748,743,751,740
,741,752,740,752,743,743,749
,740,744,742,752,753,741,751
,752,744,743,751,751,743,750
,749,743,750,745,747,751,742
,753,752,748,744,743,753,742
,741,753,750,743,740,746,740
,739,752,742,751,740,743,749
,742,743,746,752,750,743,750
,750,744,742,751,751,753,750
,749,744,751,744,684,750,743
,751,752,749,744,750,753,740
,739,752,751,744,819,749,743
,740,753,743,743,663,743,740
,740,744,742,751,822,743,748
,749,750,742,750,676,750,747
,750,746,747,751,766,751,748
,739,753,751,743,670,751,740
,739,752,751,744,765,743,742
,739,752,740,743,794,743,742
,750,745,743,751,704,742,750
,276,745,742,750,649,748,750
,416,745,744,751,824,750,751
,1023,752,750,741,743,751,814
,592,752,751,746,763,867,642
,615,752,750,729,779,889,879
,286,919,743,849,664,648,733
