"t (s)","Tilt up/down (deg)","Tilt left/right (deg)"
7.694795430E-1,8.102656341E-1,2.340383975E0
7.694795430E-1,8.102656341E-1,2.340383975E0
1.765383293E0,8.196801721E-1,2.327592268E0
1.765383293E0,8.196801721E-1,2.327592268E0
2.761286314E0,8.096834631E-1,2.345554805E0
2.761286314E0,8.096834631E-1,2.345554805E0
3.757201522E0,8.200728414E-1,2.345835328E0
3.757201522E0,8.200728414E-1,2.345835328E0
4.752989647E0,8.100229805E-1,2.346537377E0
4.752989647E0,8.100229805E-1,2.346537377E0
5.748771053E0,8.133573510E-1,2.346256462E0
5.748771053E0,8.133573510E-1,2.346256462E0
6.744854647E0,8.060599965E-1,2.338144634E0
7.242876678E0,8.305143662E-1,2.346256462E0
7.740913397E0,8.129678265E-1,2.341709090E0
8.239143501E0,8.167398860E-1,2.339263769E0
8.737189074E0,8.129678265E-1,2.362257320E0
9.235334335E0,8.131138739E-1,2.345554805E0
9.733511782E0,8.202693171E-1,2.349823285E0
1.023146631E1,8.302160659E-1,2.338564240E0
1.072948194E1,8.131625421E-1,2.359396978E0
1.122746512E1,8.269343576E-1,2.335557885E0
1.172555282E1,8.031111017E-1,2.363529398E0
1.222349934E1,8.206133959E-1,2.343951972E0
1.272141470E1,8.098289467E-1,2.342549779E0
1.321930741E1,8.063979139E-1,2.339123874E0
1.371714980E1,8.337460298E-1,2.349120521E0
1.421520970E1,8.232571759E-1,2.334859545E0
1.471320767E1,8.233557930E-1,2.338564240E0
1.521130355E1,8.235530197E-1,2.339123874E0
1.570940090E1,8.240959001E-1,2.340664306E0
1.620754038E1,8.306139001E-1,2.367097605E0
1.670561121E1,8.237996662E-1,2.353531691E0
1.720357069E1,8.206133959E-1,2.357663951E0
1.770157230E1,9.620295392E-1,2.289379524E0
1.819957486E1,1.484707194E0,2.293212447E0
1.869757855E1,2.712614302E0,2.349542218E0
1.919548798E1,3.758680394E0,2.090609819E0
1.969333012E1,4.206261877E0,2.212366025E0
2.019133022E1,4.888648101E0,2.362897638E0
2.068941736E1,5.909426855E0,2.447752907E0
2.118742038E1,7.733555883E0,2.441271052E0
2.168541704E1,9.799510848E0,2.340703987E0
2.218342444E1,1.133205816E1,2.376661816E0
2.268131923E1,1.274373986E1,2.167426182E0
2.317911418E1,1.364819311E1,2.350752432E0
2.367702824E1,1.651152755E1,2.289042891E0
2.417512605E1,1.879425040E1,1.995912603E0
