"t (s)","Tilt up/down (deg)","Tilt left/right (deg)"
2.667027200E-1,3.032089561E0,1.226842591E0
7.646653240E-1,3.594095492E0,1.508610879E0
1.262672199E0,4.024314642E0,1.697105397E0
2.258524126E0,6.451044356E0,1.589034867E0
2.756512668E0,8.414039932E0,2.021812508E0
3.254606574E0,9.623846937E0,2.422194188E0
3.752599543E0,1.051934459E1,3.335296377E0
4.250344855E0,1.187103217E1,3.687790994E0
4.748351053E0,1.282548296E1,3.732611447E0
5.246239595E0,1.321917445E1,3.347719515E0
5.744408918E0,1.374784839E1,3.113585435E0
6.242336209E0,1.446272216E1,2.857305207E0
6.740427407E0,1.523415001E1,2.578797359E0
7.238607095E0,1.604770060E1,2.494026997E0
7.736702043E0,1.666652835E1,2.426577093E0
8.234828189E0,1.719085274E1,2.293607944E0
8.733013970E0,1.760194376E1,2.425548569E0
9.231256574E0,1.812073853E1,2.570619990E0
9.729280897E0,1.845329981E1,2.452697577E0
1.022727225E1,1.863684085E1,2.293919411E0
1.072527704E1,1.843279275E1,2.356934930E0
1.122345558E1,1.862048894E1,2.280978217E0
1.172160803E1,1.895335120E1,2.403516959E0
1.221971371E1,1.906859703E1,2.011070074E0
1.271761558E1,2.062559284E1,1.769177243E0
1.321555699E1,2.137103768E1,1.681883921E0
1.371368444E1,2.140182761E1,1.797800730E0
1.421191564E1,2.170768252E1,1.691695778E0
1.471010506E1,2.237846562E1,1.663220223E0
1.520813902E1,2.348169959E1,1.773653352E0
1.570619866E1,2.421281942E1,1.980857694E0
1.620428788E1,2.470063443E1,1.882546171E0
1.670230048E1,2.511184358E1,1.833050157E0
1.720044496E1,2.550862713E1,1.834831424E0
1.769847564E1,2.591430194E1,2.657725708E0
1.819657522E1,2.628476816E1,2.221272875E0
1.869479392E1,2.656810111E1,1.649741671E0
1.919291616E1,2.684402665E1,1.756871258E0
1.969102683E1,2.704949973E1,1.376669680E0
2.018921960E1,2.731031971E1,1.403444783E0
2.068740621E1,2.760313145E1,9.883570746E-1
2.118546110E1,2.783405402E1,9.898185760E-1
2.168352496E1,2.821273699E1,1.072090193E0
2.218161975E1,2.837655298E1,1.000393184E0
2.267970267E1,3.020944859E1,1.681993651E0
2.317777730E1,2.268379600E1,2.048041970E0
2.367582527E1,2.280886084E1,1.644597758E0
2.417395928E1,2.195025650E1,9.266544582E-1
2.467222819E1,2.165939542E1,1.237781237E0
2.517043949E1,2.159987339E1,1.688028364E0
2.566855626E1,2.149806955E1,1.919891946E0
2.616648486E1,2.143345155E1,1.838637046E0
2.666464939E1,2.133914283E1,1.749448713E0
2.716290840E1,2.131109167E1,1.618073844E0
2.766102163E1,2.073867706E1,1.751953246E0
2.815912640E1,2.192181572E1,2.192549114E0
